,cost,opt,ratio,time,V,E,R
331,34,33,1.0303030303030303,0.0003033069660887122,17,136,4
332,21,21,1.0,0.00022341299336403608,6,15,6
333,42,42,1.0,0.0004611409967765212,14,91,5
334,46,46,1.0,0.00042210903484374285,20,190,6
335,51,49,1.0408163265306123,0.0006506600184366107,20,190,6
336,44,42,1.0476190476190477,0.0005005149869248271,12,66,6
337,27,25,1.08,0.00038292002864181995,7,21,4
338,27,27,1.0,0.00021955202100798488,6,15,3
339,29,28,1.0357142857142858,0.00040268199518322945,18,153,5
340,38,38,1.0,0.0002868150477297604,8,28,4
341,38,34,1.1176470588235294,0.0006921829772181809,19,171,6
342,33,31,1.064516129032258,0.00035720999585464597,20,190,3
343,40,40,1.0,0.00032487796852365136,9,36,6
344,28,28,1.0,0.0001864620135165751,11,55,3
345,26,26,1.0,0.00028293102513998747,14,91,3
346,49,44,1.1136363636363635,0.0006986350053921342,19,171,7
347,47,47,1.0,0.0006011369405314326,18,153,7
348,50,50,1.0,0.0004184289718978107,15,105,6
349,51,49,1.0408163265306123,0.0003745559952221811,13,78,6
350,15,13,1.1538461538461537,0.0003376529784873128,7,21,3
351,18,18,1.0,0.0003324570134282112,15,105,5
352,37,37,1.0,0.00025510595878586173,9,36,6
353,33,33,1.0,0.00026289501693099737,5,10,7
354,41,37,1.1081081081081081,0.0007476350292563438,13,78,7
355,17,16,1.0625,0.00039376498898491263,17,136,3
356,46,46,1.0,0.0005116480169817805,15,105,6
357,41,40,1.025,0.00046576105523854494,19,171,6
358,30,27,1.1111111111111112,0.0004216200322844088,18,153,4
359,28,28,1.0,0.0003401339636184275,10,45,4
360,31,30,1.0333333333333334,0.00036158994771540165,10,45,3
361,46,43,1.069767441860465,0.00032322900369763374,13,78,6
362,24,24,1.0,0.0002466600271873176,8,28,3
363,48,47,1.0212765957446808,0.0006754749920219183,13,78,7
364,37,35,1.0571428571428572,0.00038987904554232955,14,91,7
365,44,43,1.0232558139534884,0.00040971196722239256,20,190,5
366,45,45,1.0,0.0003925330238416791,11,55,5
367,39,39,1.0,0.0003680560039356351,16,120,5
368,28,28,1.0,0.0003548359381966293,11,55,4
369,51,49,1.0408163265306123,0.0005750900600105524,17,136,7
370,35,35,1.0,0.0005164749454706907,14,91,7
371,26,26,1.0,0.00036233599530532956,11,55,3
372,22,22,1.0,0.0002532629878260195,17,136,3
373,36,36,1.0,0.00028225401183590293,8,28,5
374,34,33,1.0303030303030303,0.0003632809966802597,10,45,5
375,39,39,1.0,0.00043355696834623814,16,120,6
376,33,33,1.0,0.0002920980332419276,9,36,3
377,34,34,1.0,0.0007300940342247486,14,91,5
378,39,37,1.054054054054054,0.00047282601008191705,18,153,5
